Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
128,8,SYMMETRY,SEQUENTIAL,0.000024706
128,8,TRANSPOSITION,SEQUENTIAL,0.000043616
128,8,SYMMETRY,SEQUENTIAL,0.000024550
128,8,TRANSPOSITION,SEQUENTIAL,0.000039689
128,8,SYMMETRY,SEQUENTIAL,0.000024624
128,8,TRANSPOSITION,SEQUENTIAL,0.000038855
128,8,SYMMETRY,SEQUENTIAL,0.000024609
128,8,TRANSPOSITION,SEQUENTIAL,0.000038348
128,8,SYMMETRY,SEQUENTIAL,0.000024691
128,8,TRANSPOSITION,SEQUENTIAL,0.000038348
128,8,TRANSPOSITION,SEQUENTIAL,0.000045203
128,8,TRANSPOSITION,SEQUENTIAL,0.000039048
128,8,TRANSPOSITION,SEQUENTIAL,0.000039086
128,8,TRANSPOSITION,SEQUENTIAL,0.000039175
128,8,TRANSPOSITION,SEQUENTIAL,0.000039212
256,8,SYMMETRY,SEQUENTIAL,0.000097357
256,8,TRANSPOSITION,SEQUENTIAL,0.000369228
256,8,SYMMETRY,SEQUENTIAL,0.000097163
256,8,TRANSPOSITION,SEQUENTIAL,0.000388809
256,8,SYMMETRY,SEQUENTIAL,0.000100657
256,8,TRANSPOSITION,SEQUENTIAL,0.000387013
256,8,SYMMETRY,SEQUENTIAL,0.000097275
256,8,TRANSPOSITION,SEQUENTIAL,0.000352032
256,8,SYMMETRY,SEQUENTIAL,0.000101812
256,8,TRANSPOSITION,SEQUENTIAL,0.000353031
256,8,TRANSPOSITION,SEQUENTIAL,0.000356555
256,8,TRANSPOSITION,SEQUENTIAL,0.000392541
256,8,TRANSPOSITION,SEQUENTIAL,0.000355579
256,8,TRANSPOSITION,SEQUENTIAL,0.000354253
256,8,TRANSPOSITION,SEQUENTIAL,0.000355653
512,8,SYMMETRY,SEQUENTIAL,0.000521906
512,8,TRANSPOSITION,SEQUENTIAL,0.003184423
512,8,SYMMETRY,SEQUENTIAL,0.000521682
512,8,TRANSPOSITION,SEQUENTIAL,0.002703063
512,8,SYMMETRY,SEQUENTIAL,0.000516430
