Matrix Size,Function,Implementation,Execution Time
4096,SYMMETRY,SEQUENTIAL,0.157125980
4096,TRANSPOSITION,SEQUENTIAL,0.543026783
4096,SYMMETRY,SEQUENTIAL,0.157804236
4096,TRANSPOSITION,SEQUENTIAL,0.506483585
4096,TRANSPOSITION,SEQUENTIAL,0.529626302
4096,TRANSPOSITION,SEQUENTIAL,0.461102657
4096,TRANSPOSITION,SEQUENTIAL,0.509739310
4096,TRANSPOSITION,SEQUENTIAL,0.470988408
4096,TRANSPOSITION,SEQUENTIAL,0.501128249
16,SYMMETRY,SEQUENTIAL,0.000000700
16,TRANSPOSITION,SEQUENTIAL,0.000000805
16,SYMMETRY,SEQUENTIAL,0.000000566
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,SYMMETRY,SEQUENTIAL,0.000000417
16,TRANSPOSITION,SEQUENTIAL,0.000000648
16,SYMMETRY,SEQUENTIAL,0.000000365
16,TRANSPOSITION,SEQUENTIAL,0.000000641
16,SYMMETRY,SEQUENTIAL,0.000000350
16,TRANSPOSITION,SEQUENTIAL,0.000000700
16,TRANSPOSITION,SEQUENTIAL,0.000000671
16,TRANSPOSITION,SEQUENTIAL,0.000000708
16,TRANSPOSITION,SEQUENTIAL,0.000000723
16,TRANSPOSITION,SEQUENTIAL,0.000000700
16,TRANSPOSITION,SEQUENTIAL,0.000000656
32,SYMMETRY,SEQUENTIAL,0.000001557
32,TRANSPOSITION,SEQUENTIAL,0.000003181
32,SYMMETRY,SEQUENTIAL,0.000001520
32,TRANSPOSITION,SEQUENTIAL,0.000002481
32,SYMMETRY,SEQUENTIAL,0.000008680
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,SYMMETRY,SEQUENTIAL,0.000001505
32,TRANSPOSITION,SEQUENTIAL,0.000002407
32,SYMMETRY,SEQUENTIAL,0.000001475
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,TRANSPOSITION,SEQUENTIAL,0.000002496
32,TRANSPOSITION,SEQUENTIAL,0.000002421
32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,TRANSPOSITION,SEQUENTIAL,0.000002481
64,SYMMETRY,SEQUENTIAL,0.000005610
64,TRANSPOSITION,SEQUENTIAL,0.000014059
64,SYMMETRY,SEQUENTIAL,0.000005566
64,TRANSPOSITION,SEQUENTIAL,0.000009559
64,SYMMETRY,SEQUENTIAL,0.000005618
64,TRANSPOSITION,SEQUENTIAL,0.000009514
64,SYMMETRY,SEQUENTIAL,0.000005573
64,TRANSPOSITION,SEQUENTIAL,0.000009507
64,SYMMETRY,SEQUENTIAL,0.000005551
64,TRANSPOSITION,SEQUENTIAL,0.000009537
64,TRANSPOSITION,SEQUENTIAL,0.000009589
64,TRANSPOSITION,SEQUENTIAL,0.000009522
64,TRANSPOSITION,SEQUENTIAL,0.000009522
64,TRANSPOSITION,SEQUENTIAL,0.000009559
64,TRANSPOSITION,SEQUENTIAL,0.000009567
128,SYMMETRY,SEQUENTIAL,0.000022464
128,TRANSPOSITION,SEQUENTIAL,0.000052013
128,SYMMETRY,SEQUENTIAL,0.000022367
128,TRANSPOSITION,SEQUENTIAL,0.000039376
128,SYMMETRY,SEQUENTIAL,0.000022374
128,TRANSPOSITION,SEQUENTIAL,0.000039235
128,SYMMETRY,SEQUENTIAL,0.000022516
128,TRANSPOSITION,SEQUENTIAL,0.000039339
128,SYMMETRY,SEQUENTIAL,0.000022367
128,TRANSPOSITION,SEQUENTIAL,0.000039369
128,TRANSPOSITION,SEQUENTIAL,0.000039309
128,TRANSPOSITION,SEQUENTIAL,0.000039347
128,TRANSPOSITION,SEQUENTIAL,0.000039399
128,TRANSPOSITION,SEQUENTIAL,0.000039332
128,TRANSPOSITION,SEQUENTIAL,0.000039332
256,SYMMETRY,SEQUENTIAL,0.000088908
256,TRANSPOSITION,SEQUENTIAL,0.000411391
256,SYMMETRY,SEQUENTIAL,0.000088617
256,TRANSPOSITION,SEQUENTIAL,0.000343837
256,SYMMETRY,SEQUENTIAL,0.000088915
256,TRANSPOSITION,SEQUENTIAL,0.000341170
256,SYMMETRY,SEQUENTIAL,0.000088707
256,TRANSPOSITION,SEQUENTIAL,0.000310294
256,SYMMETRY,SEQUENTIAL,0.000088759
256,TRANSPOSITION,SEQUENTIAL,0.000314616
256,TRANSPOSITION,SEQUENTIAL,0.000312418
256,TRANSPOSITION,SEQUENTIAL,0.000310801
256,TRANSPOSITION,SEQUENTIAL,0.000309996
256,TRANSPOSITION,SEQUENTIAL,0.000315480
256,TRANSPOSITION,SEQUENTIAL,0.000310443
512,SYMMETRY,SEQUENTIAL,0.000496909
512,TRANSPOSITION,SEQUENTIAL,0.003174014
512,SYMMETRY,SEQUENTIAL,0.000485741
512,TRANSPOSITION,SEQUENTIAL,0.002583399
512,SYMMETRY,SEQUENTIAL,0.000480063
512,TRANSPOSITION,SEQUENTIAL,0.002585694
512,SYMMETRY,SEQUENTIAL,0.000486627
512,TRANSPOSITION,SEQUENTIAL,0.002590694
512,SYMMETRY,SEQUENTIAL,0.000483491
512,TRANSPOSITION,SEQUENTIAL,0.002573848
512,TRANSPOSITION,SEQUENTIAL,0.002572782
512,TRANSPOSITION,SEQUENTIAL,0.002586938
512,TRANSPOSITION,SEQUENTIAL,0.002581373
512,TRANSPOSITION,SEQUENTIAL,0.002575137
512,TRANSPOSITION,SEQUENTIAL,0.002577052
1024,SYMMETRY,SEQUENTIAL,0.003460400
1024,TRANSPOSITION,SEQUENTIAL,0.020435743
1024,SYMMETRY,SEQUENTIAL,0.002936445
1024,TRANSPOSITION,SEQUENTIAL,0.017058454
1024,SYMMETRY,SEQUENTIAL,0.002938934
1024,TRANSPOSITION,SEQUENTIAL,0.017034374
1024,SYMMETRY,SEQUENTIAL,0.002939329
1024,TRANSPOSITION,SEQUENTIAL,0.017039560
1024,SYMMETRY,SEQUENTIAL,0.002944008
1024,TRANSPOSITION,SEQUENTIAL,0.017030723
1024,TRANSPOSITION,SEQUENTIAL,0.017063312
1024,TRANSPOSITION,SEQUENTIAL,0.017105721
1024,TRANSPOSITION,SEQUENTIAL,0.017049335
1024,TRANSPOSITION,SEQUENTIAL,0.017050624
1024,TRANSPOSITION,SEQUENTIAL,0.017039567
2048,SYMMETRY,SEQUENTIAL,0.020249911
2048,TRANSPOSITION,SEQUENTIAL,0.077667654
2048,SYMMETRY,SEQUENTIAL,0.014296643
2048,TRANSPOSITION,SEQUENTIAL,0.070877522
2048,SYMMETRY,SEQUENTIAL,0.014661752
2048,TRANSPOSITION,SEQUENTIAL,0.071036480
2048,SYMMETRY,SEQUENTIAL,0.014521137
2048,TRANSPOSITION,SEQUENTIAL,0.071006194
2048,SYMMETRY,SEQUENTIAL,0.014398381
2048,TRANSPOSITION,SEQUENTIAL,0.070928231
2048,TRANSPOSITION,SEQUENTIAL,0.069153994
2048,TRANSPOSITION,SEQUENTIAL,0.069096312
2048,TRANSPOSITION,SEQUENTIAL,0.069291897
2048,TRANSPOSITION,SEQUENTIAL,0.069163091
2048,TRANSPOSITION,SEQUENTIAL,0.069329344
4096,SYMMETRY,SEQUENTIAL,0.117034413
4096,TRANSPOSITION,SEQUENTIAL,0.350115210
4096,SYMMETRY,SEQUENTIAL,0.159528233
4096,TRANSPOSITION,SEQUENTIAL,0.443827435
4096,SYMMETRY,SEQUENTIAL,0.158919588
4096,TRANSPOSITION,SEQUENTIAL,0.406976089
4096,SYMMETRY,SEQUENTIAL,0.158426769
4096,TRANSPOSITION,SEQUENTIAL,0.404717289
4096,SYMMETRY,SEQUENTIAL,0.158733986
4096,TRANSPOSITION,SEQUENTIAL,0.422480270
4096,TRANSPOSITION,SEQUENTIAL,0.398860924
4096,TRANSPOSITION,SEQUENTIAL,0.385949433
4096,TRANSPOSITION,SEQUENTIAL,0.372307874
4096,TRANSPOSITION,SEQUENTIAL,0.421303377
4096,TRANSPOSITION,SEQUENTIAL,0.375404865
16,SYMMETRY,SEQUENTIAL,0.000000700
16,TRANSPOSITION,SEQUENTIAL,0.000000782
16,SYMMETRY,SEQUENTIAL,0.000000529
16,TRANSPOSITION,SEQUENTIAL,0.000000671
16,SYMMETRY,SEQUENTIAL,0.000000425
16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,SYMMETRY,SEQUENTIAL,0.000000343
16,TRANSPOSITION,SEQUENTIAL,0.000000678
16,SYMMETRY,SEQUENTIAL,0.000000358
16,TRANSPOSITION,SEQUENTIAL,0.000000648
16,TRANSPOSITION,SEQUENTIAL,0.000000663
16,TRANSPOSITION,SEQUENTIAL,0.000000693
16,TRANSPOSITION,SEQUENTIAL,0.000000648
16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,TRANSPOSITION,SEQUENTIAL,0.000000700
32,SYMMETRY,SEQUENTIAL,0.000001527
32,TRANSPOSITION,SEQUENTIAL,0.000003107
32,SYMMETRY,SEQUENTIAL,0.000001460
32,TRANSPOSITION,SEQUENTIAL,0.000002451
32,SYMMETRY,SEQUENTIAL,0.000001542
32,TRANSPOSITION,SEQUENTIAL,0.000002481
32,SYMMETRY,SEQUENTIAL,0.000001401
32,TRANSPOSITION,SEQUENTIAL,0.000002488
32,SYMMETRY,SEQUENTIAL,0.000001460
32,TRANSPOSITION,SEQUENTIAL,0.000002436
32,TRANSPOSITION,SEQUENTIAL,0.000002488
32,TRANSPOSITION,SEQUENTIAL,0.000002466
32,TRANSPOSITION,SEQUENTIAL,0.000002414
32,TRANSPOSITION,SEQUENTIAL,0.000002444
32,TRANSPOSITION,SEQUENTIAL,0.000002436
64,SYMMETRY,SEQUENTIAL,0.000005625
64,TRANSPOSITION,SEQUENTIAL,0.000011645
64,SYMMETRY,SEQUENTIAL,0.000005603
